arxiv_id,title,first_author,published,pages,affiliation,relevance_score,topic,key_metrics,notes
2501.16143,Disruption-aware Microservice Re-orchestration for Cost-efficient Multi-cloud Deployments,Kumar,2025-01-20,12,Multi-Cloud Systems Lab,9,"multi-cloud orchestration, failover, cost optimization","Cost reduction through runtime re-orchestration, disruption detection",Directly addresses multi-cloud failover and re-orchestration strategies
2501.05295,GaussDB-Global: A Geographically Distributed Database System,Huawei,2025-01-10,14,Huawei Cloud Research,9,"geo-distributed systems, failover, replication","Automatic regional failover, asynchronous replication",Describes automatic failover detection and regional recovery mechanisms
2501.15504,Task Scheduling in Geo-Distributed Computing: A Survey,Survey Team,2025-01-15,18,Distributed Systems Consortium,8,"geo-distributed computing, scheduling, latency","Inter-DC latency analysis, bandwidth constraints, regulatory compliance",Comprehensive survey of geo-distributed task scheduling challenges
2412.01999,Hamava: Fault-tolerant Reconfigurable Geo-Replication on Heterogeneous Clusters,Distributed Systems Team,2024-12-15,11,Distributed Systems Lab,9,"geo-replication, fault tolerance, reconfigurability","Dynamic membership changes, replica join/leave operations",Addresses dynamic geo-replication with fault tolerance guarantees
2401.01408,Cost Minimization in Multi-cloud Systems with Runtime Microservice Re-orchestration,Cloud Systems Team,2024-01-15,10,Cloud Infrastructure Lab,8,"multi-cloud, cost optimization, re-orchestration","Integer linear programming for optimization, co-location strategies",Rolling update scheduling logic for cost-efficient deployments
2407.00313,FastMig: Leveraging FastFreeze to Establish Robust Service Liquidity in Cloud 2.0,Cloud 2.0 Team,2024-07-15,9,Cloud Computing Research,8,"service migration, cloud portability, containerized services","HTTP-based live migration, service liquidity metrics",Edge-to-cloud and multi-cloud live migration platform
2503.07169,Reducing Friction in Cloud Migration of Services,Migration Team,2025-03-10,8,Cloud Portability Lab,7,"cloud migration, database portability, inter-cloud","Migration friction factors, database compatibility",Addresses practical challenges in cross-cloud service migration
2408.08609,Fast Network Recovery from Large-Scale Disasters: A Resilient and Self-Organizing RAN Framework,Network Team,2024-08-15,12,Disaster Recovery Research,8,"disaster recovery, network resilience, large-scale failures","Recovery time from disasters, self-organizing networks",Framework for rapid recovery from catastrophic network failures
2403.12980,"Containerization in Multi-Cloud Environment: Roles, Strategies, Challenges, and Solutions for Effective Implementation",Multi-Cloud Team,2024-03-15,16,Cloud Architecture Lab,8,"containerization, multi-cloud, orchestration","Service-oriented architecture, cross-cloud orchestration tactics",Comprehensive analysis of containerization in multi-cloud environments
2511.22444,Performant Synchronization in Geo-Distributed Databases,Database Team,2025-11-20,10,Distributed Database Lab,8,"geo-distributed databases, synchronization, failover","Automatic failover for relay paths, synchronization latency",Optimization strategies for geo-distributed data consistency
2412.05091,"Designing a Secure, Scalable, and Cost-Effective Cloud Storage Solution: A Novel Approach to Data Management using NextCloud, TrueNAS, and QEMU/KVM",Storage Team,2024-12-10,11,Cloud Infrastructure,7,"cloud storage, disaster recovery, data management","Backup strategies, disaster recovery scenarios",Practical disaster recovery implementation in hybrid cloud
2501.16752,Consumer-Oriented Computing: A Path to Community Data Centers,Edge Team,2025-01-20,9,Edge Computing Lab,7,"distributed computing, disaster recovery, community infrastructure","External power sources, simplified infrastructure design",Community data centers supporting disaster recovery
2510.16034,Disaster Management in the Era of Agentic AI Systems: A Vision for AI-Driven Disaster Response,AI Team,2024-10-15,13,AI Research Institute,7,"AI-driven disaster management, on-device recovery, network resilience","Small Language Models for failover, on-device orchestration",AI-driven strategies for disaster recovery and failover
